BARRAS,ESCENARIOS,demanda
SING_Norte,Seco.Dmin,341.121619206
SING_Centro,Seco.Dmin,1345.8800197141
SING_Sur,Seco.Dmin,367.9713564738
SIC_Norte,Seco.Dmin,121.7621702031
SIC_CentroNorte,Seco.Dmin,670.2113385717
SIC_Centro,Seco.Dmin,2909.8357464002
SIC_CentroSurA,Seco.Dmin,165.8991533369
SIC_CentroSurC,Seco.Dmin,614.7752035086
SIC_Sur,Seco.Dmin,340.4180149456
SING_Norte,Seco.Dmax,420.5334739259
SING_Centro,Seco.Dmax,1518.6327582947
SING_Sur,Seco.Dmax,476.551322423
SIC_Norte,Seco.Dmax,122.4566031749
SIC_CentroNorte,Seco.Dmax,731.1416888327
SIC_Centro,Seco.Dmax,5240.6204294055
SIC_CentroSurA,Seco.Dmax,379.6859783321
SIC_CentroSurC,Seco.Dmax,985.9138582503
SIC_Sur,Seco.Dmax,652.975190233
SING_Norte,Seco.Dmedia,401.0524599525
SING_Centro,Seco.Dmedia,1427.5903911249
SING_Sur,Seco.Dmedia,452.9305041942
SIC_Norte,Seco.Dmedia,119.2624414756
SIC_CentroNorte,Seco.Dmedia,704.1320123479
SIC_Centro,Seco.Dmedia,4285.0948688177
SIC_CentroSurA,Seco.Dmedia,300.8995745535
SIC_CentroSurC,Seco.Dmedia,834.5200180985
SIC_Sur,Seco.Dmedia,528.9924563937
SING_Norte,Medio.Dmin,341.121619206
SING_Centro,Medio.Dmin,1345.8800197141
SING_Sur,Medio.Dmin,367.9713564738
SIC_Norte,Medio.Dmin,121.7621702031
SIC_CentroNorte,Medio.Dmin,670.2113385717
SIC_Centro,Medio.Dmin,2909.8357464002
SIC_CentroSurA,Medio.Dmin,165.8991533369
SIC_CentroSurC,Medio.Dmin,614.7752035086
SIC_Sur,Medio.Dmin,340.4180149456
SING_Norte,Medio.Dmax,420.5334739259
SING_Centro,Medio.Dmax,1518.6327582947
SING_Sur,Medio.Dmax,476.551322423
SIC_Norte,Medio.Dmax,122.4566031749
SIC_CentroNorte,Medio.Dmax,731.1416888327
SIC_Centro,Medio.Dmax,5240.6204294055
SIC_CentroSurA,Medio.Dmax,379.6859783321
SIC_CentroSurC,Medio.Dmax,985.9138582503
SIC_Sur,Medio.Dmax,652.975190233
SING_Norte,Medio.Dmedia,401.0524599525
SING_Centro,Medio.Dmedia,1427.5903911249
SING_Sur,Medio.Dmedia,452.9305041942
SIC_Norte,Medio.Dmedia,119.2624414756
SIC_CentroNorte,Medio.Dmedia,704.1320123479
SIC_Centro,Medio.Dmedia,4285.0948688177
SIC_CentroSurA,Medio.Dmedia,300.8995745535
SIC_CentroSurC,Medio.Dmedia,834.5200180985
SIC_Sur,Medio.Dmedia,528.9924563937
SING_Norte,Humedo.Dmin,341.121619206
SING_Centro,Humedo.Dmin,1345.8800197141
SING_Sur,Humedo.Dmin,367.9713564738
SIC_Norte,Humedo.Dmin,121.7621702031
SIC_CentroNorte,Humedo.Dmin,670.2113385717
SIC_Centro,Humedo.Dmin,2909.8357464002
SIC_CentroSurA,Humedo.Dmin,165.8991533369
SIC_CentroSurC,Humedo.Dmin,614.7752035086
SIC_Sur,Humedo.Dmin,340.4180149456
SING_Norte,Humedo.Dmax,420.5334739259
SING_Centro,Humedo.Dmax,1518.6327582947
SING_Sur,Humedo.Dmax,476.551322423
SIC_Norte,Humedo.Dmax,122.4566031749
SIC_CentroNorte,Humedo.Dmax,731.1416888327
SIC_Centro,Humedo.Dmax,5240.6204294055
SIC_CentroSurA,Humedo.Dmax,379.6859783321
SIC_CentroSurC,Humedo.Dmax,985.9138582503
SIC_Sur,Humedo.Dmax,652.975190233
SING_Norte,Humedo.Dmedia,401.0524599525
SING_Centro,Humedo.Dmedia,1427.5903911249
SING_Sur,Humedo.Dmedia,452.9305041942
SIC_Norte,Humedo.Dmedia,119.2624414756
SIC_CentroNorte,Humedo.Dmedia,704.1320123479
SIC_Centro,Humedo.Dmedia,4285.0948688177
SIC_CentroSurA,Humedo.Dmedia,300.8995745535
SIC_CentroSurC,Humedo.Dmedia,834.5200180985
SIC_Sur,Humedo.Dmedia,528.9924563937
