GENERADORES,ESCENARIOS,gen_cvar,gen_rupmax,gen_rdnmax,gen_factorcap,tipo,barra
Nueva_Ventanas,Seco.Dmin,37.64904188,999,999,1,Carbon,SIC_Centro
Campiche,Seco.Dmin,37.91690018,999,999,1,Carbon,SIC_Centro
Ventanas_02,Seco.Dmin,39.89699388,999,999,1,Carbon,SIC_Centro
Ventanas_01,Seco.Dmin,42.44335633,999,999,1,Carbon,SIC_Centro
Guacolda_03,Seco.Dmin,29.05,999,999,1,Carbon,SIC_CentroNorte
Guacolda_04,Seco.Dmin,32.023,999,999,1,Carbon,SIC_CentroNorte
Guacolda_01,Seco.Dmin,32.7484,999,999,1,Carbon,SIC_CentroNorte
Guacolda_02,Seco.Dmin,32.8528,999,999,1,Carbon,SIC_CentroNorte
Guacolda_05,Seco.Dmin,40.50964896,999,999,1,Carbon,SIC_CentroNorte
Santa_Maria,Seco.Dmin,33.89169646,999,999,1,Carbon,SIC_CentroSurC
Bocamina_02,Seco.Dmin,44.81518306,999,999,1,Carbon,SIC_CentroSurC
Bocamina_01,Seco.Dmin,48.09768973,999,999,1,Carbon,SIC_CentroSurC
NTO2,Seco.Dmin,29.8567,999,999,1,Carbon,SING_Centro
NTO1,Seco.Dmin,30.15688,999,999,1,Carbon,SING_Centro
CTM2,Seco.Dmin,32.2307248,999,999,1,Carbon,SING_Centro
CTH,Seco.Dmin,32.71240159,999,999,1,Carbon,SING_Centro
CTM1,Seco.Dmin,33.1455574,999,999,1,Carbon,SING_Centro
CTA,Seco.Dmin,34.98930347,999,999,1,Carbon,SING_Centro
U15,Seco.Dmin,36.8778299,999,999,1,Carbon,SING_Centro
U14,Seco.Dmin,38.2190069,999,999,1,Carbon,SING_Centro
U13,Seco.Dmin,42.217497,999,999,1,Carbon,SING_Centro
U12,Seco.Dmin,44.032503,999,999,1,Carbon,SING_Centro
COCHRANE_1,Seco.Dmin,46.51138814,999,999,1,Carbon,SING_Centro
COCHRANE_2,Seco.Dmin,46.51138814,999,999,1,Carbon,SING_Centro
CTTAR,Seco.Dmin,33.198374,999,999,1,Carbon,SING_Norte
ANG_II,Seco.Dmin,41.04048968,999,999,1,Carbon,SING_Sur
ANG_I,Seco.Dmin,42.45048968,999,999,1,Carbon,SING_Sur
IEMejillones,Seco.Dmin,43.79474211,999,999,1,Carbon,SING_Sur
Nueva_Renca_Diesel,Seco.Dmin,120.5464769,999,999,1,Diesel,SIC_Centro
Nehuenco_02_Diesel,Seco.Dmin,121.0384651,999,999,1,Diesel,SIC_Centro
Nehuenco_01_Diesel,Seco.Dmin,121.1952869,999,999,1,Diesel,SIC_Centro
Dona_Carmen,Seco.Dmin,157.8250806,999,999,1,Diesel,SIC_Centro
Espinos_01,Seco.Dmin,175.315902,999,999,1,Diesel,SIC_Centro
Los_Vientos,Seco.Dmin,179.3565017,999,999,1,Diesel,SIC_Centro
