GENERADORES,ESCENARIOS,gen_cvar,gen_rupmax,gen_rdnmax,gen_factorcap
Nueva_Ventanas,Medio.Dmax,37.64904188,999,999,1
Campiche,Medio.Dmax,37.91690018,999,999,1
Ventanas_02,Medio.Dmax,39.89699388,999,999,1
Ventanas_01,Medio.Dmax,42.44335633,999,999,1
Guacolda_03,Medio.Dmax,29.05,999,999,1
Guacolda_04,Medio.Dmax,32.023,999,999,1
Guacolda_01,Medio.Dmax,32.7484,999,999,1
Guacolda_02,Medio.Dmax,32.8528,999,999,1
Guacolda_05,Medio.Dmax,40.50964896,999,999,1
Santa_Maria,Medio.Dmax,33.89169646,999,999,1
Bocamina_02,Medio.Dmax,44.81518306,999,999,1
Bocamina_01,Medio.Dmax,48.09768973,999,999,1
NTO2,Medio.Dmax,29.8567,999,999,1
NTO1,Medio.Dmax,30.15688,999,999,1
CTM2,Medio.Dmax,32.2307248,999,999,1
CTH,Medio.Dmax,32.71240159,999,999,1
CTM1,Medio.Dmax,33.1455574,999,999,1
CTA,Medio.Dmax,34.98930347,999,999,1
U15,Medio.Dmax,36.8778299,999,999,1
U14,Medio.Dmax,38.2190069,999,999,1
U13,Medio.Dmax,42.217497,999,999,1
U12,Medio.Dmax,44.032503,999,999,1
COCHRANE_1,Medio.Dmax,46.51138814,999,999,1
COCHRANE_2,Medio.Dmax,46.51138814,999,999,1
CTTAR,Medio.Dmax,33.198374,999,999,1
ANG_II,Medio.Dmax,41.04048968,999,999,1
ANG_I,Medio.Dmax,42.45048968,999,999,1
IEMejillones,Medio.Dmax,43.79474211,999,999,1
Nueva_Renca_Diesel,Medio.Dmax,120.5464769,999,999,1
Nehuenco_02_Diesel,Medio.Dmax,121.0384651,999,999,1
Nehuenco_01_Diesel,Medio.Dmax,121.1952869,999,999,1
Dona_Carmen,Medio.Dmax,157.8250806,999,999,1
Espinos_01,Medio.Dmax,175.315902,999,999,1
Los_Vientos,Medio.Dmax,179.3565017,999,999,1
Cardones,Medio.Dmax,174.37435,999,999,1
Teno,Medio.Dmax,180.5514389,999,999,1
Los_Pinos,Medio.Dmax,148.5568851,999,999,1
Coronel_TG_Diesel,Medio.Dmax,165.8908952,999,999,1
Santa_Lidia,Medio.Dmax,181.2146294,999,999,1
Taltal_01_Diesel,Medio.Dmax,176.8500902,999,999,1
Taltal_02_Diesel,Medio.Dmax,176.8500902,999,999,1
Antilhue_TG_01,Medio.Dmax,197.3656384,999,999,1
Antilhue_TG_02,Medio.Dmax,197.3656384,999,999,1
