CONTINGENCIAS,factor_contingencia,centrales_contingencia,lineas_contingencia
Campiche,1,[Campiche],[None]
Nueva_Ventanas,1,[Nueva_Ventanas],[None]
Ventanas_01,1,[Ventanas_01],[None]
Ventanas_02,1,[Ventanas_02],[None]
Guacolda_01,1,[Guacolda_01],[None]
Guacolda_02,1,[Guacolda_02],[None]
Guacolda_03,1,[Guacolda_03],[None]
Guacolda_04,1,[Guacolda_04],[None]
Guacolda_05,1,[Guacolda_05],[None]
Bocamina_01,1,[Bocamina_01],[None]
Bocamina_02,1,[Bocamina_02],[None]
Santa_Maria,1,[Santa_Maria],[None]
COCHRANE_1,1,[COCHRANE_1],[None]
COCHRANE_2,1,[COCHRANE_2],[None]
CTA,1,[CTA],[None]
CTH,1,[CTH],[None]
CTM1,1,[CTM1],[None]
CTM2,1,[CTM2],[None]
NTO1,1,[NTO1],[None]
NTO2,1,[NTO2],[None]
U12,1,[U12],[None]
U13,1,[U13],[None]
U14,1,[U14],[None]
U15,1,[U15],[None]
CTTAR,1,[CTTAR],[None]
ANG_I,1,[ANG_I],[None]
ANG_II,1,[ANG_II],[None]
IEMejillones,1,[IEMejillones],[None]
Dona_Carmen,1,[Dona_Carmen],[None]
Espinos_01,1,[Espinos_01],[None]
Los_Vientos,1,[Los_Vientos],[None]
Nehuenco_01_Diesel,1,[Nehuenco_01_Diesel],[None]
Nehuenco_02_Diesel,1,[Nehuenco_02_Diesel],[None]
Nueva_Renca_Diesel,1,[Nueva_Renca_Diesel],[None]
Cardones,1,[Cardones],[None]
Teno,1,[Teno],[None]
Coronel_TG_Diesel,1,[Coronel_TG_Diesel],[None]
Los_Pinos,1,[Los_Pinos],[None]
Santa_Lidia,1,[Santa_Lidia],[None]
Taltal_01_Diesel,1,[Taltal_01_Diesel],[None]
Taltal_02_Diesel,1,[Taltal_02_Diesel],[None]
