GENERADORES,gen_barra,gen_pmax,gen_pmin,gen_falla,gen_cfijo,gen_tipo,gen_cvar0,gen_rupmax0,gen_rdnmax0
Campiche,SIC_Centro,242,145.2,True,0,Carbon,0,0,0
Nueva_Ventanas,SIC_Centro,249,149.4,True,0,Carbon,0,0,0
Ventanas_01,SIC_Centro,113.4,68.04,True,0,Carbon,0,0,0
Ventanas_02,SIC_Centro,208.6,125.16,True,0,Carbon,0,0,0
Guacolda_01,SIC_CentroNorte,142.9,85.74,True,0,Carbon,0,0,0
Guacolda_02,SIC_CentroNorte,142.9,85.74,True,0,Carbon,0,0,0
Guacolda_03,SIC_CentroNorte,137.104,82.2624,True,0,Carbon,0,0,0
Guacolda_04,SIC_CentroNorte,139,83.4,True,0,Carbon,0,0,0
Guacolda_05,SIC_CentroNorte,139,83.4,True,0,Carbon,0,0,0
Bocamina_01,SIC_CentroSurC,122.2,73.32,True,0,Carbon,0,0,0
Bocamina_02,SIC_CentroSurC,342,205.2,True,0,Carbon,0,0,0
Santa_Maria,SIC_CentroSurC,321,192.6,True,0,Carbon,0,0,0
COCHRANE_1,SING_Centro,236,100,True,0,Carbon,0,0,0
COCHRANE_2,SING_Centro,236,100,True,0,Carbon,0,0,0
CTA,SING_Centro,139.629,70.8,True,0,Carbon,0,0,0
CTH,SING_Centro,140.8185,70.8,True,0,Carbon,0,0,0
CTM1,SING_Centro,141.7335,65.83,True,0,Carbon,0,0,0
CTM2,SING_Centro,150.06,65.06,True,0,Carbon,0,0,0
NTO1,SING_Centro,121.7052,50.4452,True,0,Carbon,0,0,0
NTO2,SING_Centro,125.93585,49.86585,True,0,Carbon,0,0,0
U12,SING_Centro,72.8157,37.5157,True,0,Carbon,0,0,0
U13,SING_Centro,72.98955,37.48955,True,0,Carbon,0,0,0
U14,SING_Centro,116.81805,55.91805,True,0,Carbon,0,0,0
U15,SING_Centro,113.5149,56.1149,True,0,Carbon,0,0,0
CTTAR,SING_Norte,135.8958,77.91,True,0,Carbon,0,0,0
