GENERADORES,gen_barra,gen_pmax,gen_pmin,gen_cvar,gen_falla,gen_rupmax,gen_rdnmax,gen_cfijo,gen_factorcap,gen_tipo
Guacolda_03,SIC_CentroNorte,137.104,82.2624,29.05,True,999,999,0,1,Carbon
NTO2,SING_Centro,125.93585,49.86585,29.8567,True,999,999,0,1,Carbon
NTO1,SING_Centro,121.7052,50.4452,30.15688,True,999,999,0,1,Carbon
Guacolda_04,SIC_CentroNorte,139,83.4,32.023,True,999,999,0,1,Carbon
CTM2,SING_Centro,150.06,65.06,32.2307248,True,999,999,0,1,Carbon
CTH,SING_Centro,140.8185,70.8,32.71240159,True,999,999,0,1,Carbon
Guacolda_01,SIC_CentroNorte,142.9,85.74,32.7484,True,999,999,0,1,Carbon
Guacolda_02,SIC_CentroNorte,142.9,85.74,32.8528,True,999,999,0,1,Carbon
CTM1,SING_Centro,141.7335,65.83,33.1455574,True,999,999,0,1,Carbon
CTTAR,SING_Norte,135.8958,77.91,33.198374,True,999,999,0,1,Carbon
Santa_Maria,SIC_CentroSurC,321,192.6,33.89169646,True,999,999,0,1,Carbon
CTA,SING_Centro,139.629,70.8,34.98930347,True,999,999,0,1,Carbon
U15,SING_Centro,113.5149,56.1149,36.8778299,True,999,999,0,1,Carbon
Nueva_Ventanas,SIC_Centro,249,149.4,37.64904188,True,999,999,0,1,Carbon
Campiche,SIC_Centro,242,145.2,37.91690018,True,999,999,0,1,Carbon
U14,SING_Centro,116.81805,55.91805,38.2190069,True,999,999,0,1,Carbon
U16_GNL,SING_Centro,343,152,38.91293792,True,999,999,0,1,GNL
Ventanas_02,SIC_Centro,208.6,125.16,39.89699388,True,999,999,0,1,Carbon
Guacolda_05,SIC_CentroNorte,139,83.4,40.50964896,True,999,999,0,1,Carbon
ANG_II,SING_Sur,223.507965,100,41.04048968,True,999,999,0,1,Carbon
U13,SING_Centro,72.98955,37.48955,42.217497,True,999,999,0,1,Carbon
Ventanas_01,SIC_Centro,113.4,68.04,42.44335633,True,999,999,0,1,Carbon
ANG_I,SING_Sur,223.28928,100,42.45048968,True,999,999,0,1,Carbon
IEMejillones,SING_Sur,375,225,43.79474211,True,999,999,0,1,Carbon
U12,SING_Centro,72.8157,37.5157,44.032503,True,999,999,0,1,Carbon
Bocamina_02,SIC_CentroSurC,342,205.2,44.81518306,True,999,999,0,1,Carbon
COCHRANE_1,SING_Centro,236,100,46.51138814,True,999,999,0,1,Carbon
COCHRANE_2,SING_Centro,236,100,46.51138814,True,999,999,0,1,Carbon
Bocamina_01,SIC_CentroSurC,122.2,73.32,48.09768973,True,999,999,0,1,Carbon
KELAR,SING_Sur,517,310.2,62.01728,True,999,999,0,1,GNL
CTM3_SIC,SIC_CentroNorte,243.227,145.9362,62.65109403,True,999,999,0,1,GNL
San_Isidro_02_GNL,SIC_Centro,392,235.2,69.48129023,True,999,999,0,1,GNL
San_Isidro_GNL,SIC_Centro,350,210,73.58766746,True,999,999,0,1,GNL
CC1_GNL,SING_Sur,325.6,303,108.6798098,True,999,999,0,1,GNL
CC2_GNL,SING_Sur,325.6,303,108.6798098,True,999,999,0,1,GNL
Nueva_Renca_Diesel,SIC_Centro,312,187.2,120.5464769,True,999,999,0,1,Diesel
Nehuenco_02_Diesel,SIC_Centro,391,234.6,121.0384651,True,999,999,0,1,Diesel
Nehuenco_01_Diesel,SIC_Centro,310,186,121.1952869,True,999,999,0,1,Diesel
Los_Pinos,SIC_CentroSurC,104.194,62.5164,148.5568851,True,999,999,0,1,Diesel
Cardones,SIC_CentroNorte,153.04,91.824,174.37435,True,999,999,0,1,Diesel
Taltal_01_Diesel,SIC_Norte,110,66,176.8500902,True,999,999,0,1,Diesel
Taltal_02_Diesel,SIC_Norte,110,66,176.8500902,True,999,999,0,1,Diesel
Dona_Carmen,SIC_Centro,66.5,39.9,157.8250806,True,999,999,0,1,Diesel
Coronel_TG_Diesel,SIC_CentroSurC,46.7,28.02,165.8908952,True,999,999,0,1,Diesel
Espinos_01,SIC_Centro,100,60,175.315902,True,999,999,0,1,Diesel
Los_Vientos,SIC_Centro,132,79.2,179.3565017,True,999,999,0,1,Diesel
Teno,SIC_CentroSurA,59,35.4,180.5514389,True,999,999,0,1,Diesel
Santa_Lidia,SIC_CentroSurC,139,83.4,181.2146294,True,999,999,0,1,Diesel
Antilhue_TG_01,SIC_Sur,51.6,30.96,197.3656384,True,999,999,0,1,Diesel
Antilhue_TG_02,SIC_Sur,50.9,30.54,197.3656384,True,999,999,0,1,Diesel
El_Toro,SIC_CentroSurC,450,0,150,True,999,999,0,1,Embalse
